攤位,SNS,帳號,暱稱,類別,宣傳連接
1F_P09,Threads,miyoshi_tww,米攸西,兔赤,https://www.threads.com/@miyoshi_tww/post/DNQBqNDpQgS?xmt=AQF0J0o42vDNbWTsK9WRxVqFtgHAtjOwLLqT0tU7mYFyFg
1F_P10,Threads,_syouku_u,少玖sʏᴏᴜᴋᴜ,兔赤,https://www.threads.com/@_syouku_u/post/DNPkqWLR_Fu?xmt=AQF0J0o42vDNbWTsK9WRxVqFtgHAtjOwLLqT0tU7mYFyFg
